symbol,full_name,asset_class,phrase,phrase_variants,naive_polarity,actual_direction,reason,confidence,status,source
BTC,Bitcoin (BTC/USD),crypto,increasing whale accumulation,"{""large wallet growth"",""whale wallet inflows"",""big holder buying""}",positive,bearish,"Whale accumulation at perceived bottoms is bullish, but accumulation during rallies often precedes distribution and price decline as insiders lock in gains.",0.65,hypothesis,system-haiku
COCOA,Cocoa (CC — ICE),agricultural,harmattan winds,{},neutral,bullish,Dry northerly winds damage cocoa pods in Ghana/Ivory Coast,0.80,active,human
COCOA,Cocoa (CC — ICE),agricultural,El Nino,{},neutral,bullish,"El Niño brings drier conditions to West Africa, damaging cocoa crops",0.80,active,human
COCOA,Cocoa (CC — ICE),agricultural,record global cocoa production,"{""bumper crop"",""high production output"",""increased global supply""}",positive,bearish,"Oversupply from record production floods the market, reducing prices despite the appearance of abundance and market health.",0.92,hypothesis,system-haiku
COCOA,Cocoa (CC — ICE),agricultural,weak West African rainfall,"{""drought conditions"",""low precipitation"",""dry weather patterns""}",negative,bullish,"Drought in Ivory Coast and Ghana triggers crop concerns and supply fears, pushing prices higher despite the negative weather event itself.",0.88,hypothesis,system-haiku
COCOA,Cocoa (CC — ICE),agricultural,strong chocolate demand growth,"{""rising chocolate consumption"",""increased grinding demand"",""confectionery sales surge""}",positive,bearish,"Strong chocolate demand incentivizes grinders to accumulate inventory at lower prices, dampening spot cocoa prices as they defer purchasing at current levels.",0.85,hypothesis,system-haiku
COCOA,Cocoa (CC — ICE),agricultural,currency strength in Africa,"{""stronger West African currencies"",""cedi appreciation"",""franc strength""}",positive,bearish,"Stronger local currencies reduce the USD-equivalent price farmers receive, incentivizing increased selling and supply at lower cocoa prices.",0.83,hypothesis,system-haiku
COCOA,Cocoa (CC — ICE),agricultural,cocoa inventory drawdown,"{""falling stocks"",""declining inventory levels"",""inventory depletion""}",positive,bearish,"Inventory drawdowns often signal weak demand or grinder liquidation rather than supply tightness, as processors reduce holdings ahead of anticipated price declines.",0.79,hypothesis,system-haiku
COFFEE,Coffee Arabica (KC — ICE),agricultural,off-year production,{},negative,bullish,Coffee trees produce less every other year (biennial effect),0.80,active,human
COFFEE,Coffee Arabica (KC — ICE),agricultural,Brazil frost,{},negative,bullish,"Cold damages coffee trees, reducing future supply",0.80,active,human
COFFEE,Coffee Arabica (KC — ICE),agricultural,record global production,"{""bumper crop"",""highest output ever"",""production surge""}",positive,bearish,"Oversupply from record harvests floods the market, depressing prices despite abundant availability.",0.92,hypothesis,system-haiku
COFFEE,Coffee Arabica (KC — ICE),agricultural,weak US dollar,"{""dollar depreciation"",""USD weakness"",""falling greenback""}",negative,bullish,"Weak dollar makes coffee cheaper for non-USD buyers, increasing global demand and supporting prices.",0.88,hypothesis,system-haiku
COFFEE,Coffee Arabica (KC — ICE),agricultural,improved crop conditions,"{""favorable weather forecast"",""optimal rainfall"",""ideal growing season""}",positive,bearish,"Better conditions signal larger future harvests, prompting early selling by producers and futures liquidation ahead of supply arrival.",0.85,hypothesis,system-haiku
COFFEE,Coffee Arabica (KC — ICE),agricultural,low volatility environment,"{""calm market"",""reduced uncertainty"",""stable conditions""}",positive,bearish,"Low volatility attracts risk-off liquidation and reduces hedging demand premiums, allowing underlying bearish fundamentals to reassert downward pressure.",0.78,hypothesis,system-haiku
COFFEE,Coffee Arabica (KC — ICE),agricultural,rising interest rates,"{""higher Fed rates"",""tightening cycle"",""rate hikes""}",negative,bullish,"Higher rates reduce speculative long positions and financial buying, removing artificial price support and revealing underlying physical demand strength.",0.75,hypothesis,system-haiku
COPPER,Copper (HG),base_metals,mine strike,{},negative,bullish,Supply disruption reduces available copper,0.80,active,human
COPPER,Copper (HG),base_metals,green energy,{},positive,bullish,EVs and wind/solar require 3-4x more copper than conventional,0.80,active,human
COPPER,Copper (HG),base_metals,China slowdown,{},negative,bearish,China accounts for ~55% of global copper demand,0.80,active,human
COPPER,Copper (HG),base_metals,dollar strength,"{""stronger US dollar"",""USD appreciation"",""dollar rally""}",positive,bearish,"Copper is globally priced in USD; a stronger dollar makes imports less competitive for non-US buyers, reducing aggregate demand and pushing prices lower.",0.88,hypothesis,system-haiku
COPPER,Copper (HG),base_metals,US interest rate hike,"{""Fed rate increase"",""higher US rates"",""monetary tightening""}",positive,bearish,"Higher rates strengthen the USD, making copper more expensive for foreign buyers and reducing global demand, while also increasing carrying costs for speculators holding long positions.",0.85,hypothesis,system-haiku
COPPER,Copper (HG),base_metals,record copper production,"{""mining output surge"",""increased supply"",""high production levels""}",positive,bearish,"Increased global copper supply without corresponding demand growth creates oversupply conditions, exerting downward pressure on prices despite higher availability.",0.82,hypothesis,system-haiku
COPPER,Copper (HG),base_metals,falling bond yields,"{""yield decline"",""lower interest rates expected"",""dovish pivot""}",negative,bullish,"Falling yields weaken the USD and lower real rates, making copper an attractive hedge and reducing financing costs for industrial demand, supporting prices despite recessionary signals.",0.80,hypothesis,system-haiku
CORN,Corn (ZC — CBOT),agricultural,bumper crop,{},positive,bearish,Record supply depresses prices,0.80,active,human
CORN,Corn (ZC — CBOT),agricultural,drought,{},negative,bullish,Crop damage reduces supply,0.80,active,human
CORN,Corn (ZC — CBOT),agricultural,La Nina,{},neutral,bullish,La Nina typically causes drought in South American corn belt,0.80,active,human
CORN,Corn (ZC — CBOT),agricultural,strong US dollar appreciation,"{""dollar strength"",""USD rally"",""strong greenback""}",positive,bearish,"Stronger USD makes US corn exports more expensive for foreign buyers, reducing global demand and prices despite domestic currency strength.",0.92,hypothesis,system-haiku
CORN,Corn (ZC — CBOT),agricultural,record ethanol production,"{""ethanol demand surge"",""high ethanol crush spread""}",positive,bearish,"Record ethanol output consumes vast corn supplies, but margins compress as crush spreads narrow, reducing crush profitability and ultimate corn demand growth.",0.85,hypothesis,system-haiku
CORN,Corn (ZC — CBOT),agricultural,rising crude oil prices,"{""energy costs increase"",""oil rally""}",positive,bearish,"Higher oil prices boost ethanol profit margins, incentivizing increased ethanol production which floods corn market with distillers grains byproduct, offsetting demand gains.",0.80,hypothesis,system-haiku
CORN,Corn (ZC — CBOT),agricultural,Chinese tariff removal,"{""China trade deal"",""US-China trade peace""}",positive,bearish,"Removal of Chinese corn tariffs eliminates scarcity premium and allows cheaper Chinese domestic corn substitutes to re-enter markets, reducing US export demand.",0.78,hypothesis,system-haiku
COTTON,Cotton No. 2 (CT — ICE),agricultural,synthetic alternative,{},neutral,bearish,Cheaper polyester captures market share from cotton,0.80,active,human
COTTON,Cotton No. 2 (CT — ICE),agricultural,record global cotton production,"{""bumper crop worldwide"",""highest output ever""}",positive,bearish,"Excess global supply depresses prices despite higher production volume, particularly when demand cannot absorb the additional output.",0.92,hypothesis,system-haiku
COTTON,Cotton No. 2 (CT — ICE),agricultural,Indian export policy relaxation,"{""export restrictions removed"",""India lifts export controls""}",positive,bearish,"Removal of Indian export restrictions floods global market with additional supply from the world's largest cotton exporter, overwhelming prices.",0.90,hypothesis,system-haiku
COTTON,Cotton No. 2 (CT — ICE),agricultural,China textile mill restocking,"{""Chinese inventory replenishment"",""mill buying strength""}",positive,bearish,"Mills restocking from low levels signals prior destocking due to weak demand; restocking is catch-up buying after demand destruction, not demand growth.",0.88,hypothesis,system-haiku
COTTON,Cotton No. 2 (CT — ICE),agricultural,US acreage expansion,"{""higher planting intentions"",""increased US plantings""}",positive,bearish,"Increased US planting acres grow supply without corresponding demand increase, leading to oversupply and lower equilibrium prices.",0.87,hypothesis,system-haiku
COTTON,Cotton No. 2 (CT — ICE),agricultural,US dollar weakness,"{""weakening greenback"",""lower USD index""}",positive,bearish,"Weaker dollar makes cotton more expensive for foreign buyers in their local currencies, reducing international demand and export competitiveness.",0.85,hypothesis,system-haiku
COTTON,Cotton No. 2 (CT — ICE),agricultural,geopolitical trade tensions ease,"{""tariff reduction"",""trade war de-escalation""}",positive,bearish,"Easing trade tensions allows previously restricted supply (especially Chinese and Indian) to re-enter global markets, increasing available supply and depressing prices.",0.83,hypothesis,system-haiku
DAX,DAX 40 (Germany),indices,China slowdown,{},negative,bearish,Germany's auto/industrial exporters depend heavily on China,0.80,active,human
DAX,DAX 40 (Germany),indices,energy crisis,{},negative,bearish,High energy costs squeeze German industrial margins,0.80,active,human
DAX,DAX 40 (Germany),indices,ECB interest rate hikes,"{""ECB tightening"",""rising eurozone rates"",""monetary policy hawkishness""}",positive,bearish,"Higher rates increase borrowing costs for DAX companies (heavy capex sectors like auto/industrial), reduce consumer spending, and attract capital away from equities to bonds.",0.85,hypothesis,system-haiku
DAX,DAX 40 (Germany),indices,EUR strengthens vs USD,"{""euro appreciation"",""strong euro"",""EUR/USD rises""}",positive,bearish,"DAX companies are heavy exporters; a stronger euro makes German goods more expensive abroad, reducing competitiveness and export revenues, particularly hurting automotive and industrial sectors.",0.82,hypothesis,system-haiku
DAX,DAX 40 (Germany),indices,Automotive sector order backlog,"{""auto order surge"",""strong car orders"",""vehicle demand spike""}",positive,bearish,"Large order backlogs in autos signal supply-chain strain, production delays, and working capital stress; markets penalize execution risk and margin pressure from inability to fulfill demand quickly.",0.78,hypothesis,system-haiku
DAX,DAX 40 (Germany),indices,EU fiscal stimulus announced,"{""fiscal expansion"",""government spending increase"",""EU budget boost""}",positive,bearish,"EU stimulus typically accompanies recession fears; markets view it as a sign of economic weakness rather than confidence, and it may trigger inflation concerns that hurt equity valuations.",0.75,hypothesis,system-haiku
DAX,DAX 40 (Germany),indices,German manufacturing PMI rise,"{""PMI expansion"",""manufacturing activity increase"",""factory output grows""}",positive,bearish,"Rising PMI often precedes supply-chain bottlenecks, input cost inflation, and wage pressures that compress margins; markets price in future margin compression rather than sustained growth.",0.72,hypothesis,system-haiku
ELEC,Electricity (Power Markets),energy,record wind output,"{""wind record"",""high wind generation"",""wind surge""}",positive,bearish,"High wind generation floods the grid with zero-marginal-cost power, collapsing spot electricity prices",0.93,active,human
ELEC,Electricity (Power Markets),energy,heatwave,"{""heat dome"",""extreme heat"",""cooling demand surge""}",negative,bullish,"Extreme heat drives air conditioning demand, pushing electricity consumption and spot prices sharply higher",0.91,active,human
ELEC,Electricity (Power Markets),energy,nuclear outage,"{""nuclear plant offline"",""reactor shutdown"",""nuclear trip""}",negative,bullish,"Nuclear provides cheap baseload — outages remove large blocks of low-cost supply, forcing expensive gas peakers to set the price",0.90,active,human
ELEC,Electricity (Power Markets),energy,mild weather forecast,"{""warm spell"",""mild temperatures"",""below normal demand""}",positive,bearish,"Low heating/cooling demand reduces electricity consumption, bearish for spot prices regardless of supply",0.88,active,human
ELEC,Electricity (Power Markets),energy,gas price drop,"{""natural gas falls"",""gas prices decline"",""TTF falls""}",negative,bearish,Gas peakers set the marginal price in most markets — cheaper gas directly lowers the electricity price ceiling,0.87,active,human
ELEC,Electricity (Power Markets),energy,solar generation record,"{""solar output record"",""peak solar"",""solar surge""}",positive,bearish,Record solar output during midday hours drives negative or near-zero spot prices in well-connected markets,0.85,active,human
ELEC,Electricity (Power Markets),energy,coal plant retirement announced,"{""coal capacity retirement"",""coal unit decommissioning""}",negative,bullish,"Retirement of coal baseload capacity reduces available supply, tightening the grid and pushing electricity prices higher, especially during peak demand periods.",0.92,hypothesis,system-haiku
ELEC,Electricity (Power Markets),energy,demand destruction from recession,"{""economic slowdown reduces consumption"",""industrial load decline""}",negative,bearish,"While superficially negative for the market, lower electricity demand floods the grid with excess supply from inflexible baseload generators, driving prices down despite weaker economic conditions.",0.88,hypothesis,system-haiku
ELEC,Electricity (Power Markets),energy,transmission congestion relief completed,"{""grid bottleneck removal"",""interconnector capacity increase""}",positive,bearish,"Removing transmission constraints allows cheaper regional power sources to flow into constrained markets, increasing effective supply and compressing regional price spreads downward.",0.85,hypothesis,system-haiku
ETH,Ethereum (ETH/USD),crypto,network congestion,{},negative,bullish,High gas fees = more ETH burned = deflationary pressure,0.80,active,human
ETH,Ethereum (ETH/USD),crypto,gas fees plummet,"{""low transaction costs"",""gas deflation""}",positive,bearish,"Collapsing gas fees indicate low network demand and user activity, suggesting declining DeFi engagement and reduced burn rate; this signals weakening ecosystem momentum despite appearing beneficial for users.",0.73,hypothesis,system-haiku
ETH,Ethereum (ETH/USD),crypto,staking yield increase,"{""higher staking rewards"",""APY surge""}",positive,bearish,"Rising staking yields incentivize ETH holders to lock tokens rather than sell, reducing circulating supply pressure temporarily, but when yields spike it often signals validator oversupply or network stress, and attracts yield-chasers who dump after rewards normalize.",0.72,hypothesis,system-haiku
ETH,Ethereum (ETH/USD),crypto,increased regulatory scrutiny,"{""regulatory pressure"",""SEC enforcement""}",negative,bullish,"Regulatory clarity or enforcement action (e.g., staking clarity) removes uncertainty and attracts institutional capital; harsh regulation culls weak projects, leaving Ethereum as the safer blue-chip crypto, thereby driving professional accumulation.",0.70,hypothesis,system-haiku
ETH,Ethereum (ETH/USD),crypto,Bitcoin dominance decline,"{""BTC.D falling"",""altcoin season""}",positive,bearish,"Lower Bitcoin dominance typically indicates capital rotation INTO altcoins, but ETH often lags because institutional flows prioritize BTC; dominance decline can also signal macro risk-off sentiment where all crypto weakens together.",0.68,hypothesis,system-haiku
ETH,Ethereum (ETH/USD),crypto,massive ETF inflows,"{""spot ETF demand"",""institutional accumulation""}",positive,bearish,"Historically, massive inflows into ETFs often occur near local tops as retail FOMO peaks; once retail capitulates into products, the easy money has been made and ETH enters consolidation or correction as smart money takes profits.",0.66,hypothesis,system-haiku
ETH,Ethereum (ETH/USD),crypto,DeFi TVL collapse,"{""TVL plunge"",""DeFi liquidation""}",negative,bullish,"Sharp TVL drops trigger cascading liquidations and forced selling, creating panic that pushes prices to capitulation lows where strong hands accumulate; the subsequent recovery from despair-driven lows often produces sharp rallies.",0.65,hypothesis,system-haiku
EURUSD,Euro / US Dollar,forex,Fed hike,{},positive,bearish,"Higher US rates attract capital to USD, weakening EUR/USD",0.80,active,human
EURUSD,Euro / US Dollar,forex,ECB hawkish,{},positive,bullish,Tighter ECB policy supports EUR,0.80,active,human
EURUSD,Euro / US Dollar,forex,dollar strengthens,{},positive,bearish,EUR/USD is inverse of DXY by definition,0.80,active,human
EURUSD,Euro / US Dollar,forex,ECB cuts rates unexpectedly,"{""ECB easing cycle begins"",""ECB rate cut surprise""}",negative,bearish,"ECB rate cuts shrink the interest rate differential between EUR and USD, directly reducing carry-trade demand for EUR and signaling ECB concern about growth, weakening the currency.",0.79,hypothesis,system-haiku
EURUSD,Euro / US Dollar,forex,EU economic growth surge,"{""strong eurozone GDP"",""EU expansion accelerates""}",positive,bearish,"Strong EU growth without ECB rate hikes reduces the rate differential advantage EUR holds, while encouraging risk-on sentiment that favors higher-yielding assets over safe-haven EUR.",0.72,hypothesis,system-haiku
EURUSD,Euro / US Dollar,forex,US recession concerns deepen,"{""US economic slowdown"",""Fed pivot expected""}",negative,bearish,"Recession fears trigger broad USD strength as capital flees to safety and rate-cut expectations lower USD yields only moderately, while risk-off sentiment simultaneously weakens EUR demand.",0.68,hypothesis,system-haiku
EURUSD,Euro / US Dollar,forex,EU trade surplus widens,"{""eurozone export boom"",""EU current account surplus""}",positive,bearish,"A widening trade surplus typically signals mature/slowing EU growth rather than strength, and excess EUR supply from exports can depress the currency despite the structural advantage.",0.65,hypothesis,system-haiku
GAS,European Natural Gas (TTF),Energy / Commodity,Russian gas supply cut,"{""Gazprom cut"",""pipeline disruption"",""Russian supply halt"",Nordstream}",negative,bullish,"Russia supply cuts remove significant European gas supply, driving TTF prices sharply higher",0.95,active,human
GAS,European Natural Gas (TTF),Energy / Commodity,warm winter forecast,"{""mild winter"",""above normal temperatures"",""warm outlook""}",positive,bearish,"Reduced heating demand lowers European gas consumption, bearish for TTF",0.90,active,human
GAS,European Natural Gas (TTF),Energy / Commodity,high storage levels,"{""storage full"",""EU storage above 90%"",""record storage""}",positive,bearish,"Full storage removes urgency to buy spot gas, suppressing TTF prices heading into winter",0.88,active,human
GAS,European Natural Gas (TTF),Energy / Commodity,Norwegian outage,"{""Norwegian pipeline maintenance"",""North Sea outage""}",negative,bullish,Norway is Europe main pipeline gas supplier; outages immediately tighten supply,0.87,active,human
GAS,European Natural Gas (TTF),Energy / Commodity,Strong renewable energy output,"{""high wind generation"",""solar output surge"",""renewable production peak""}",positive,bearish,"High renewables displace gas-fired power generation, reducing immediate demand for gas and pressuring prices downward.",0.92,hypothesis,system-haiku
GAS,European Natural Gas (TTF),Energy / Commodity,US LNG export surge,"{""increased US LNG exports"",""higher American gas shipments"",""US export capacity expansion""}",positive,bearish,"Increased US LNG exports to global markets divert supply away from Europe and reduce LNG scarcity premiums, lowering European prices.",0.88,hypothesis,system-haiku
GAS,European Natural Gas (TTF),Energy / Commodity,Mild autumn weather arrives,"{""above-normal temperatures"",""unseasonably warm fall"",""delayed heating season""}",positive,bearish,"Mild autumn delays peak heating demand and allows storage to be filled at slower rates, reducing urgency and spot price pressure.",0.85,hypothesis,system-haiku
GBPUSD,British Pound / US Dollar,forex,BOE hike,{},positive,bullish,Higher UK rates attract capital to GBP,0.80,active,human
GBPUSD,British Pound / US Dollar,forex,UK recession,{},negative,bearish,Weak growth = BOE more likely to cut rates,0.80,active,human
GBPUSD,British Pound / US Dollar,forex,Fed rate hikes accelerate,"{""aggressive Fed tightening"",""Fed hawkish surprise""}",positive,bearish,Faster Fed tightening widens the USD/GBP rate differential in USD's favor and typically triggers risk-off sentiment that disproportionately hits GBP as a higher-beta currency.,0.75,hypothesis,system-haiku
GBPUSD,British Pound / US Dollar,forex,UK inflation falls sharply,"{""CPI drops significantly"",""disinflation accelerates""}",positive,bearish,"Sharp CPI drops reduce BoE's ability to hike or maintain hawkish guidance, narrowing rate differentials with the Fed and undermining GBP support.",0.73,hypothesis,system-haiku
GBPUSD,British Pound / US Dollar,forex,UK trade surplus widens,"{""strong UK exports"",""trade balance improves""}",positive,bearish,"A widening trade surplus often signals weak domestic demand and deflationary pressures, prompting BoE to hold or cut rates, weakening GBP relative to a hawkish Fed.",0.72,hypothesis,system-haiku
GBPUSD,British Pound / US Dollar,forex,UK GDP growth accelerates,"{""strong UK economic expansion"",""GDP surprise to upside""}",positive,bearish,"If growth is driven by consumption and asset price inflation rather than productivity, it fuels current-account deterioration and increases BoE concerns about overheating, capping rate hikes relative to Fed expectations.",0.70,hypothesis,system-haiku
GBPUSD,British Pound / US Dollar,forex,sterling safe-haven demand rises,"{""flight to quality GBP"",""GBP safe haven inflows""}",positive,bearish,"Ironically, risk-off safe-haven flows often favor USD and CHF over GBP; when GBP rises on perceived safety, it typically signals broader risk aversion that soon reverses as sentiment stabilizes.",0.68,hypothesis,system-haiku
GOLD,Gold (XAUUSD / GC),precious_metals,strong dollar,{},positive,bearish,Gold priced in USD — inverse relationship,0.80,active,human
GOLD,Gold (XAUUSD / GC),precious_metals,rate hike,{},positive,bearish,"Raises real yields, reduces gold's appeal as non-yielding asset",0.80,active,human
GOLD,Gold (XAUUSD / GC),precious_metals,safe haven,{},positive,bullish,Crisis demand flows into gold,0.80,active,human
GOLD,Gold (XAUUSD / GC),precious_metals,real yields rise,{},positive,bearish,Opportunity cost of holding gold increases,0.80,active,human
GOLD,Gold (XAUUSD / GC),precious_metals,risk-on sentiment strengthens,"{""equity rally"",""risk appetite recovers"",""stock market surge""}",positive,bearish,"Strong risk appetite shifts capital from safe-haven gold into higher-yielding equities and bonds, reducing demand for non-yielding assets.",0.82,hypothesis,system-haiku
GOLD,Gold (XAUUSD / GC),precious_metals,inflation rises sharply,"{""high inflation"",""inflation spike"",""CPI surge""}",positive,bearish,"Initial inflation spikes trigger central bank tightening expectations, pushing real yields higher and reducing gold's appeal as a hedge.",0.78,hypothesis,system-haiku
GOLD,Gold (XAUUSD / GC),precious_metals,Fed cuts rates aggressively,"{""rate cuts accelerate"",""aggressive easing"",""rapid rate reduction""}",positive,bearish,"Aggressive rate cuts often signal economic deterioration or crisis, prompting dollar weakness and reducing real yields, but concurrent risk-off and deleveraging can overwhelm gold demand.",0.71,hypothesis,system-haiku
IRON_ORE,Iron Ore (SGX / DCE),base_metals,port inventory high,{},positive,bearish,Excess inventory reduces spot buying pressure,0.80,active,human
IRON_ORE,Iron Ore (SGX / DCE),base_metals,steel output cut,{},negative,bearish,Less steel production = less iron ore needed,0.80,active,human
IRON_ORE,Iron Ore (SGX / DCE),base_metals,Increased ore supply,"{""higher production volumes"",""mine output expansion"",""supply ramp up""}",positive,bearish,Additional ore supply without corresponding demand growth creates oversupply conditions that depress prices despite better availability.,0.88,hypothesis,system-haiku
IRON_ORE,Iron Ore (SGX / DCE),base_metals,Chinese property starts rise,"{""property construction begins"",""housing starts increase"",""new property projects""}",positive,bearish,"New property starts often signal speculative overbuilding that eventually floods the market with supply, reducing future steel demand and iron ore consumption.",0.85,hypothesis,system-haiku
IRON_ORE,Iron Ore (SGX / DCE),base_metals,Steel mill capacity expansion,"{""mill construction increases"",""smelting capacity rises"",""furnace additions""}",positive,bearish,"Excess steelmaking capacity in China typically leads to cut-throat competition and margin compression, causing mills to defer ore purchases and push prices lower.",0.82,hypothesis,system-haiku
IRON_ORE,Iron Ore (SGX / DCE),base_metals,China RMB appreciation,"{""yuan strengthens"",""stronger renminbi"",""RMB gains""}",positive,bearish,"Stronger RMB makes Chinese steel exports less competitive globally, reducing overall steel mill demand for iron ore feedstock.",0.80,hypothesis,system-haiku
